,company_email_domain,company_primary_industry,company_revenue,company_it_budget_mil,company_fi_budget_mil,company_mk_budget_mil,three_yr_sales_growth_%,fiscal_year_end,number_of_employees,three_yr_employees_growth_%,company_it_employees,company_fortune_rank,company_ownership,company_linkedin_url,my_notes_on_company,company_profile_url,company_other_names,company_sic_codes,company_naics_codes,company_business_model_b2bb2cb2g,number_of_locations,hospital_beds,company_global_2000_rank,technologies_searched,technologies_matched,company_technologies_excludes_hg_data_technologies,company_technologies_excludes_hg_data_technologies_cont1,company_technologies_excludes_hg_data_technologies_cont2,advertising,agency_of_record,audit,business_intelligencebig_data,collaboration,crm__marketing_automation,data_management,data_storage,databases,ecommerce,enterprise_applications,erp,finance,hardwareossystems_environment,hr,itsm,languages,medical,mobility,networking,programming_tools,security,servers,service_providers,telecommunications,virtualization,company_record_type,company_primary_industry_missing_flag,company_it_budget_mil_missing_flag,company_fi_budget_mil_missing_flag,company_mk_budget_mil_missing_flag,company_ownership_missing_flag,company_business_model_b2bb2cb2g_missing_flag,company_technologies_excludes_hg_data_technologies_missing_flag,company_technologies_excludes_hg_data_technologies_cont1_missing_flag,company_technologies_excludes_hg_data_technologies_cont2_missing_flag,advertising_missing_flag,agency_of_record_missing_flag,business_intelligencebig_data_missing_flag,collaboration_missing_flag,crm__marketing_automation_missing_flag,data_management_missing_flag,data_storage_missing_flag,databases_missing_flag,ecommerce_missing_flag,enterprise_applications_missing_flag,erp_missing_flag,finance_missing_flag,hardwareossystems_environment_missing_flag,hr_missing_flag,itsm_missing_flag,languages_missing_flag,medical_missing_flag,mobility_missing_flag,networking_missing_flag,programming_tools_missing_flag,security_missing_flag,servers_missing_flag,service_providers_missing_flag,telecommunications_missing_flag,virtualization_missing_flag,company_record_type_missing_flag,pct_missing,company_age
536,nhs.net,0.0,604567985.0,0.0,0.0,0.0,,,2950,,98.0,,98693,https://www.linkedin.com/company/586540?trk=tyah&,,https://go.discoverydb.com/eui/#/company/4078422,,8322,624120,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0.7428571428571429,8.0
2638,nhs.net,0.0,11000000.0,0.0,0.0,0.0,0.0,,125,0.0,10.0,,0,https://www.linkedin.com/company/nhs-forth-valley,,https://go.discoverydb.com/eui/#/company/22637,,8062,622110,0.0,,860,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0.45714285714285713,
2820,nhs.net,0.0,308000000.0,0.0,0.0,0.0,0.0,,3600,0.0,281.0,,0,linkedin.com/company/southport-and-ormskirk-hospital-nhs-trust,,https://go.discoverydb.com/eui/#/company/22999,"Southport and Ormskirk Hospita, Southport and Ormskirk Hospital NHS Trust, southportandormskirk.nhs.uk",8062,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2571428571428571,8.0
6888,nhs.net,0.0,397390000.0,0.0,0.0,0.0,0.0,,6000,0.0,468.0,,0,www.linkedin.com/company/south-devon-healthcare-nhs-foundation-trust,,https://go.discoverydb.com/eui/#/company/22640,"South Devon Healthcare NHS Foundation Trust, Torbay and Southern Devon Health and Care NHS Trust, Torbay Hospital",8099,621999,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0.5428571428571428,5.0
11652,nhs.net,0.0,358000000.0,0.0,0.0,0.0,0.0,,4500,0.0,351.0,,0,linkedin.com/company/northern-devon-healthcare-nhs-trust,,https://go.discoverydb.com/eui/#/company/22768,"North Devon District Hospital, Northern Devon Healthcare NHS Trust",8062,622110,0.0,,423,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.22857142857142856,41.0
13498,nhs.net,0.0,293603800.0,0.0,0.0,0.0,,,2000,,156.0,,0,linkedin.com/company/lpftnhs/,,https://go.discoverydb.com/eui/#/company/4032740,,8099,621999,0.0,,248,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0.4857142857142857,18.0
13870,nhs.net,0.0,440000000.0,0.0,0.0,0.0,0.0,,3640,0.0,284.0,,0,www.linkedin.com/company/peterborough-&-stamford-hospitals-nhs-foundation-trust,,https://go.discoverydb.com/eui/#/company/23001,"pbh-tr.nhs.uk, Peterborough and Stamford Hospitals NHS Foundation Trust",8062,622110,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.37142857142857144,27.0
22873,nhs.net,0.0,296790000.0,0.0,0.0,0.0,0.0,,2500,0.0,195.0,,0,www.linkedin.com/company/the-hillingdon-hospital-nhs-trust,,https://go.discoverydb.com/eui/#/company/1018811,Hillingdon Hospital NHS Foundation Trust,8099,621999,0.0,,509,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.2571428571428571,8.0
24468,nhs.net,0.0,223700000.0,0.0,0.0,0.0,,,50,,38.0,,98693,,,https://go.discoverydb.com/eui/#/company/4079393,,8699,813910,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0.5142857142857142,
28258,nhs.net,0.0,486000000.0,0.0,0.0,0.0,0.0,,6000,0.0,468.0,,0,www.linkedin.com/company/doncaster-and-bassetlaw-nhs-trust,,https://go.discoverydb.com/eui/#/company/22956,"dbh.nhs.uk, Doncaster and Bassetlaw NHS Trust, NHS Trust, www.dbh.nhs.uk",8062,622110,0.0,,720,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112159,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0.4857142857142857,
